utc_time,actual_3d_norm_m,regime_probability,lead_time_hours,history_span_hours,delta_x_error_m,delta_y_error_m,delta_z_error_m,delta_clock_error_m
2025-09-08 00:11:00,69.28489509732778,0.3529273361668787,0.5,7.75,-0.22290384612203265,-0.0569675458520502,-0.27528093707832535,0.20642732500282657
2025-09-08 00:24:00,81.42225815289106,0.3529273361668787,0.7166666666666667,7.75,-0.22242162200773835,-0.058123405606077774,-0.2756079031543674,0.20567958557766666
2025-09-08 00:39:00,6.306828305230973,0.3529273361668787,0.9666666666666667,7.75,-0.22207399733264838,-0.059555561410123366,-0.27598684698898407,0.20478151436147746
2025-09-08 00:54:00,50.23083268395662,0.3529273361668787,1.2166666666666666,7.75,-0.2220420521024959,-0.06101552105397991,-0.27637591663900674,0.20382994749965372
2025-09-08 01:09:00,5.431732840128696,0.3529273361668787,1.4666666666666666,7.75,-0.22237566331026132,-0.06239787053786172,-0.27680180030007917,0.20281003828770103
2025-09-08 01:24:00,6.506797283300288,0.3529273361668787,1.7166666666666666,7.75,-0.22307619979280177,-0.0635921317990448,-0.27729862889192447,0.20171393578828264
2025-09-08 01:39:00,7.0928349405648685,0.3529273361668787,1.9666666666666666,7.75,-0.22410590731855246,-0.06450584785395122,-0.27789570947858233,0.20054352850221033
2025-09-08 01:54:00,22.77213694050766,0.3529273361668787,2.216666666666667,7.75,-0.22540387264737255,-0.0650859411141743,-0.2786056083468252,0.19931129953862298
2025-09-08 02:09:00,4.317469952897253,0.3529273361668787,2.466666666666667,7.75,-0.22690286877911797,-0.06533109996801047,-0.2794166940103163,0.19803864002935628
2025-09-08 02:24:00,3.1051153519267904,0.3529273361668787,2.716666666666667,7.75,-0.22854306898790322,-0.06529405663865454,-0.28029066105883765,0.1967542575622207
2025-09-08 02:40:00,32.83286977213868,0.3529273361668787,2.9833333333333334,7.75,-0.2303968419673169,-0.06505675969402382,-0.28122299961547825,0.19541077333383355
2025-09-08 02:54:00,2.3394459516073236,0.3529273361668787,3.216666666666667,7.75,-0.23207591714284367,-0.06480249328791461,-0.28196821039178077,0.19429506130711888
2025-09-08 03:09:00,10.110632146548847,0.3529273361668787,3.466666666666667,7.75,-0.23390830204636526,-0.06461328359840424,-0.28261715456291425,0.1932030327434138
2025-09-08 03:24:00,6.3029375054999415,0.3529273361668787,3.716666666666667,7.75,-0.2357458628642527,-0.06462602330616408,-0.28304386241826396,0.19225874670547416
2025-09-08 03:39:00,22.148380617429382,0.3529273361668787,3.966666666666667,7.75,-0.2375477483715521,-0.06492112817845198,-0.2831995031228592,0.19149755022736045
2025-09-08 03:54:00,4.248691524578168,0.3529273361668787,4.216666666666667,7.75,-0.23925759671067245,-0.06552972765043379,-0.28306385002147205,0.19094309113999144
2025-09-08 04:09:00,6.048068940598414,0.3529273361668787,4.466666666666667,7.75,-0.2408040743708984,-0.0664315383068001,-0.28264771040616204,0.19060354106952093
2025-09-08 04:24:00,1.903680308596357,0.3529273361668787,4.716666666666667,7.75,-0.2421080112505076,-0.0675661134744546,-0.281990138954672,0.1904702770499785
2025-09-08 04:40:00,3.1892607867256597,0.3529273361668787,4.983333333333333,7.75,-0.24314446885300983,-0.0689383736375397,-0.2810903435841901,0.19053076846277078
2025-09-08 04:54:00,1.5440646777955496,0.3529273361668787,5.216666666666667,7.75,-0.24369261101720366,-0.07019528181985436,-0.2802013483698865,0.19072637676382645
2025-09-08 05:09:00,55.51706663055365,0.3529273361668787,5.466666666666667,7.75,-0.2438729894940475,-0.07153023089853162,-0.27921218322340396,0.19105118702607485
2025-09-08 05:24:00,5.933829036124197,0.3529273361668787,5.716666666666667,7.75,-0.24363051715527362,-0.07280595178362416,-0.2782456281164661,0.19146359284484069
2025-09-08 05:40:00,9.194705291822821,0.3529273361668787,5.983333333333333,7.75,-0.24294727934851473,-0.0740783043877738,-0.2772911148090333,0.19196866585437924
2025-09-08 05:54:00,3.421901403929896,0.3529273361668787,6.216666666666667,7.75,-0.24205794604245928,-0.07511758592050334,-0.2765442948915228,0.19244452054947267
2025-09-08 06:09:00,3.2117854150504352,0.3529273361668787,6.466666666666667,7.75,-0.24089888343371302,-0.07616618843344584,-0.2758419600573394,0.19297213679511566
2025-09-08 06:24:00,3.1736722856151487,0.3529273361668787,6.716666666666667,7.75,-0.23963543845938282,-0.07715675406875924,-0.2752314283346418,0.1935047177787416
2025-09-08 06:40:00,38.42862653304334,0.3529273361668787,6.983333333333333,7.75,-0.23829473975493023,-0.07814329173676997,-0.27466147123238016,0.1940659707180873
