Timestamp,Satellite_ID,Constellation,Broadcast_X,Broadcast_Y,Broadcast_Z,Broadcast_Clock,Modelled_X,Modelled_Y,Modelled_Z,Modelled_Clock,Error_X,Error_Y,Error_Z,3D_Orbit_Error,Error_Clock
2026-08-01 00:00:00,G01,G,-1137256.4185121988,23135741.45221724,12802091.739344412,7.61642604743871e-06,-1137257.6774074938,23135742.51977373,12802092.448768225,7.616561173737999e-06,1.258895294891374,-1.0675564903575483,-0.7094238100687534,1.7966013374971732,-1.3512629928858322e-10
2026-08-01 00:15:00,G01,G,-1885332.383541477,24300076.835397605,10400333.051117118,7.625389440838514e-06,-1885333.6201653571,24300077.947200984,10400333.462398391,7.624934635173591e-06,1.2366238807335028,-1.111803380440564,-0.4112812731779659,1.7130375549959034,4.5480566492266676e-10
2026-08-01 00:30:00,G01,G,-2470900.74045274,25235030.4545683,7818315.60279746,7.633676643265372e-06,-2470901.836371584,25235031.74368393,7818315.773683651,7.633308096609184e-06,1.095918844033298,-1.2891156325770254,-0.1708861914206048,1.7006055736942605,3.685466561885066e-10
2026-08-01 00:45:00,G01,G,-2918604.030423659,25910338.70218846,5101316.824716192,7.642826626673116e-06,-2918605.0633164444,25910339.907998297,5101316.676683375,7.641681558044775e-06,1.0328927854924763,-1.2058098385517309,0.1480328172903336,1.594602956245056,1.145068628341571e-09
2026-08-01 01:00:00,G01,G,-3258458.121820758,26302830.774774168,2296598.2596819256,7.65125579343543e-06,-3258459.017058902,26302832.01510743,2296597.781484696,7.650055019480367e-06,0.8952381440410373,-1.2403332634865674,0.4781972302385628,1.6026698131758494,1.2007739550636051e-09
2026-08-01 01:15:00,G01,G,-3524449.3266861103,26397260.87331524,-547442.3393627104,7.659989873827455e-06,-3524450.2094450253,26397262.10538828,-547443.0680657169,7.658428480915959e-06,0.8827589147382618,-1.2320730390639965,0.7287030065238255,1.681747706065071,1.5613929114964252e-09
2026-08-01 01:30:00,G01,G,-3752999.098586241,26186835.30762879,-3382112.9004158643,7.668501747458435e-06,-3752999.932772172,26186836.670385443,-3382113.82374458,7.66680194235155e-06,0.8341859304421201,-1.3627566506355226,0.9233287159000496,1.8454017917528331,1.6998051068833895e-09
2026-08-01 01:45:00,G01,G,-3981356.072962997,25673424.82589246,-6159247.931714569,7.676551815956169e-06,-3981356.8259885367,25673426.17145655,-6159249.09094449,7.675175403787142e-06,0.753025540009315,-1.3455640888198084,1.15922992090724,1.9290941372971944,1.3764121690260076e-09
2026-08-01 02:00:00,G01,G,-4245980.204853917,24867457.80869789,-8831995.531119447,7.685371954778542e-06,-4245980.868699191,24867459.03542863,-8831996.865163738,7.683548865222734e-06,0.6638452745782776,-1.2267307362394624,1.334044290146668,1.930086271617787,1.8230895558071022e-09
2026-08-01 02:15:00,G01,G,-4580979.053307621,23787507.629841503,-11355559.168846726,7.694154483379669e-06,-4580979.664814631,23787508.85071204,-11355560.50544355,7.691922326658326e-06,0.6115070098891017,-1.2208705384732694,1.3365968238424288,1.910747697724948,2.2321567213425155e-09
